,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
2012,Accountant,Cairo Company For Engineering & Refrigeration,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,females_only,Accounting Finance Financial Analysis,20 days ago
2013,Public Relations Officer,Ahmed Osman-Archi-Arts,New Cairo,Cairo,Egypt ,Full Time,On-site,Manager,5 - 15 Yrs of Exp,Creative/Design/Art,PR Public Relations Writing Social Media Management,23 days ago
2014,Digital Marketing Expert,Confidential,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,Creative/Design/Art,Google Adwords Marketing Online Marketing Communication skills E-Marketing Google Analytics Social Media,13 days ago
2015,IT Help Desk Specialist,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,4+ Yrs of Exp,Installation/Maintenance/Repair,Information Technology (IT) ICT Network Storage Windows Server Firewall Troubleshooting Network Virtualization,2 months ago
2016,Sales Analyst,Americana Foods,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 4 Yrs of Exp,Logistics/Supply Chain,Sales Export Sales Export,14 days ago
2017,Customer Account Manager,Minatec,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Customer Service/Support,business Communication Customer Service Advertising Marketing Customer Care Microsoft Office,1 month ago
2018,HR Manager,Rehana Group,Qanater Khairya,Qalubia,Egypt ,Full Time,On-site,Manager,10 - 20 Yrs of Exp,Administration,Communication skills HRM Communication Recruitment Talent management Personnel Microsoft Office,14 days ago
2019,CRM Coordinator,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Administration,CRM Business Administration IT Service Management Zoho CRM,1 month ago
2020,Showroom Sales Officer (Females Only),Colortek Egypt / Epdc,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,0 - 2 Yrs of Exp,females_only,Sales/Retail business B2B Communication Arabic CRM Customer Service English,19 days ago
2021,Business Developer,Redpepper films ,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,Business Development,Business Development business,1 month ago
2022,Accountant,HD Solutions,6th of October,Giza,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Accounting/Finance,Accounting Finance Financial Analysis Financial Management MS Excel analytical,1 month ago
2023,National Sales Manager,Confidential,Not mentioned,Cairo,Egypt ,Full Time,On-site,Manager,8 - 10 Yrs of Exp,Operations/Management,Pharmaceutical Leadership Manager Sales Sales Skills Sales Target Sales Management,2 hours ago
2024,Education Sales Consultant - German Universities,University Assist ,Maadi,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 5 Yrs of Exp,Business Development,sales skills Sales Target Communication Customer Service Education Sales CRM,10 hours ago
2025,junior sales engineer,Comatrol Systems,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Business Development,ELV Systems Outdoor Sales CCTV System Fire Alarm Systems Access Control System (ACS) sales skills Business Development,18 hours ago
2026,Telecommunication Design Engineer,Confidential,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 10 Yrs of Exp,Creative/Design/Art,Communication Electrical,21 days ago
2027,Inside Sales Manager,Promech Engineering,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 5 Yrs of Exp,Sales/Retail,Sales CRM Customer Service Communication,3 days ago
2028,VTC Manager (Vocational Training Manager),El Sewedy Technical Academy,10th of Ramadan City,Sharqia,Egypt ,Full Time,On-site,Manager,7 - 10 Yrs of Exp,Operations/Management,Training VTC,3 days ago
2029,Industrial Automation Engineer,Bytecontrols,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 5 Yrs of Exp,Engineering - Mechanical/Electrical,Engineering Mechatronics Industrial Automation Programming Language,21 days ago
2030,Logistic Coordinator,Sinamix,10th of Ramadan City,Sharqia,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Customer Service/Support,Business Administration ERP Communication Supply Chain,1 month ago
2031,Project Manager,Millensys,New Cairo,Cairo,Egypt ,Full Time,On-site,Manager,5 - 7 Yrs of Exp,Operations/Management,,24 days ago
2032,Human Resources Manager,The National Company for Fertilizers and Chemical Industries ,Not mentioned,Monufya,Egypt ,Full Time,On-site,Manager,7 - 10 Yrs of Exp,Administration,business HR Human Resources Recruitment Personnel Microsoft Office Management,5 days ago
2033,Site Manager,PAVILLION ARCHITECTS,Sheraton,Cairo,Egypt ,Full Time,On-site,Manager,10 - 15 Yrs of Exp,Engineering - Construction/Civil/Architecture,Information Technology (IT) Revit photoshop Lumion 3d max CAD Project Management,5 days ago
2034,Senior Cost Accountant,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 7 Yrs of Exp,Accounting/Finance,Finance Analysis Accounting Cost Accounting Cost Analysis,29 days ago
2035,Pre Sales Network Security Engineer,Confidential,Mokattam,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,Sales/Retail,CCNP Cisco Computer Engineering Engineering Information Technology (IT) Sales Network,6 days ago
2036,Customer Service Team Lead,Engosoft,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,4+ Yrs of Exp,males_preferred,Communication Communication skills Customer Care Customer Service Leadership Customer Support Customer Relations Customer Satisfaction,6 days ago
2037,Cost Control Engineer,Alkarma Developments,Sheikh Zayed,Giza,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture,,6 days ago
2038,Foreign Procurement Specialist,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Administration,Foreign Procurement Management Manufacturing Procurement Purchasing supply chain management Supply Chain,19 days ago
2039,Data Entry Clerk,CAR-HUNTER LTD,Heliopolis,Cairo,Egypt ,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Administration,computer Data Data Entry Management Typing Microsoft Office,29 days ago
2040,Senior Graphic Designer,Atlas,Smouha,Alexandria,Egypt ,Full Time,On-site,Experienced,5+ Yrs of Exp,Creative/Design/Art,Adobe illustrator illustrator Graphic Design Design Creative Adobe Indesign HTML,7 days ago
2041,Document Controller & ISO Compliance Officer - Red Sea,Capital Drilling,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3+ Yrs of Exp,females_preferred,ISO 9001 Microsoft Office ISO Document Management,7 days ago
2042,Medical Billing Assistant,London International Patient Services,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 2 Yrs of Exp,females_only,Medical/Healthcare Administration Billing Communication Customer Service Insurance Medical Medical billing,27 days ago
2043,Senior property consultant,Valero Development,Obour City,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 4 Yrs of Exp,Business Development,sales skills Sales Target Negotiation Real Estate Sales Experience,2 months ago
2044,Cost and Inventory Controller,Dreem Mashreq Foods ,Smouha,Alexandria,Egypt ,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Accounting/Finance,Cost Accounting Cost Cost Control Finance inventory Inventory Management Manufacturing,27 days ago
2045,IT Sales Account Manager,INetwork Solutions,Not mentioned,Giza,Egypt ,Full Time,On-site,Entry Level,0 - 5 Yrs of Exp,IT/Software Development,Solutions IT IT sales IT solutions Negotiation Sales technical,13 days ago
2046,Senior graphic designer,Minatec,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,3 - 6 Yrs of Exp,Creative/Design/Art,Graphic Design Printing Design Adobe Photoshop Adobe illustrator Graphic photoshop,1 month ago
2047,SOCIAL MEDIA SPECIALIST & GRAPHIC DESIGNER,SkyCloud,Not mentioned,Alexandria,Egypt ,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Creative/Design/Art,E-Marketing Fine Arts Graphic illustrator Marketing photoshop Social Media,1 month ago
2048,Senior Site Architectural Engineer,Teba United,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture,Architecture AutoCAD Civil Site Civil Engineering,20 days ago
2049,Accountant,Al Marasem Group,New Cairo,Cairo,Egypt ,Full Time,On-site,Entry Level,2 - 4 Yrs of Exp,Accounting/Finance,Payable Accounting Accounts Receivable SAP,1 month ago
2050,Production Engineer,Decorative Glass And Arab Union Glass Group,Obour City,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,males_only,Engineering Communication skills Mechanical Engineering Manufacturing Leadership Production Safety Management,25 days ago
2051,Senior Planning & Cost Control Engineer,Core Construction and Finishing  Egypt,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 9 Yrs of Exp,Engineering - Construction/Civil/Architecture,Project Management Engineering Construction AutoCAD Planning Project Planning Cost,26 days ago
2052,Senior Mechanical Design Engineer,Confidential,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,Engineering - Mechanical/Electrical,Mechanical Engineering CAD Development Engineering,9 days ago
2053,Articulate Developer,jeel,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Education/Teaching,E-Learning Education learning Storyline,14 days ago
2054,Senior Project Engineer / Solar Projects,National Electricity Technology Co.,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,males_only,Engineering - Other AutoCAD Primavera Electrical Engineering Solar Energy Solar Photovoltaic (PV) Energy Engineering,10 days ago
2055,Draftsman,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture,AutoCAD Draftsman Drawings Engineering Revit Drafting Experience,28 days ago
2056,Instructional Designer,GPS,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Creative/Design/Art,Educational Technology Instructional Instructional Design learning,28 days ago
2057,Graphic Designer Finalize,Blue Bell ,Bourj Alarab,Alexandria,Egypt ,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Creative/Design/Art,illustrator photoshop Graphic Adobe Photoshop Adobe illustrator Design Packaging,50 minutes ago
2058,Call Center Agent,Right Room,Nozha,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 5 Yrs of Exp,Customer Service/Support,Customer Care Sales Negotiation Customer Support Customer Service CRM Communication,11 days ago
2059,Technician (Maintenance) - Mobile,Raya Distribution,Shubra,Cairo,Egypt ,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Customer Service/Support,Communication Maintenance quality technical Repair,3 days ago
2060,Senior Recruitment Executive,B&G Shipping Agency,Bab Sharq,Alexandria,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Human Resources,Communication business Sourcing HR Recruitment,11 days ago
2061,Contact Center Representative,MedVAlley S.A.E,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Customer Service/Support,Social Media Call Center Customer Support Customer Service,11 days ago
2062,Personnel and Payroll Manager,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Manager,3 - 5 Yrs of Exp,Administration,HRIS Payroll Personnel Human Resources (HR) Administration,11 days ago
2063,Warehouse Manager,Confidential,10th of Ramadan City,Sharqia,Egypt ,Full Time,On-site,Manager,3 - 7 Yrs of Exp,Logistics/Supply Chain,Logistics,1 month ago
2064,Civil Site Engineer,Iskefe Nile For Leather Manufacturing and Trade,10th of Ramadan City,Sharqia,Egypt ,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,Engineering - Construction/Civil/Architecture,Architecture AutoCAD Civil Communication Construction 3D Design,1 month ago
2065,Pre-Sales Educational Representative,University Assist ,Maadi,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 5 Yrs of Exp,Customer Service/Support,Customer Service Education Sales Target sales skills Skills Sales English,12 days ago
2066,media buyer,Concrete For Real Estate,6th of October,Giza,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Marketing/PR/Advertising,Advertising Buyer Communication Digital Digital Marketing digital media Marketing,1 month ago
2067,Graphic Designer,Palmier Developments ,Sheikh Zayed,Giza,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,females_preferred,Adobe Photoshop Design Arts Fine Arts Graphic Graphic Design illustrator photoshop,1 month ago
2068,Senior External Auditor,Shohdy Finance ,New Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 9 Yrs of Exp,Accounting/Finance,Financial Finance IFRS Data Analysis Auditing Analysis GAAP,24 days ago
2069,General Accountant,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Accounting/Finance,Accounting Finance Financial Analysis Financial Management general accountant,1 month ago
2070,Sales & Marketing Executive,EGYCAT,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 10 Yrs of Exp,Business Development,Sales sales skills Market Research Marketing Business Administration CRM Communication,24 days ago
2071,Customer Care Specialist,Mobco Civil Construction,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Customer Service/Support,Customer Customer Care Customer Service Customer Support Real Estate,19 days ago
2072,Medical Representative,Pioneernutri pharma,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Medical/Healthcare,sales skills Sales Target Product Sales Communication,1 month ago
2073,Senior Microsoft Dynamics 365 F&O Functional Consultant,Seoudi Supermarket,Sheikh Zayed,Giza,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Information Technology (IT) Microsoft dynamics 365 MS Office Finance ERP Accounts Payable Cash Management,28 days ago
2074,Senior Contracting Engineer,Elaraby Group,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture,Civil Engineering Construction Project Management Contracting,19 days ago
2075,Junior Microsoft Dynamics 365 F&O Functional Consultant,Seoudi Supermarket,Sheikh Zayed,Giza,Egypt ,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Engineering - Construction/Civil/Architecture,Finance Information Technology (IT) ERP Microsoft Dynamics Dynamics 365 Accounts Payable Accounts Receivable,28 days ago
2076,Customer Service Supervisor,GoChat247,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Customer Service/Support,Customer Support Conflict Resolution Communication Customer Care Customer Service,1 month ago
2077,Production Engineer ( exhibtion industry),3Dimension,Haram,Giza,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Creative/Design/Art,Arts Creative Design Manufacturing Production AutoCAD Adobe Photoshop,18 days ago
2078,Graphic Designer,Confidential,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Creative/Design/Art,Adobe Photoshop Graphic Graphic Design graphic designer Designer Design UX,1 month ago
2079,Technical Office Engineer - 6th of october,Al Kayan Eco ,6th of October,Giza,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture,Technical Office technical office engineer technical Office engineer office asd AutoCAD,20 hours ago
2080,Senior Graphic Designer,Enterprizone Co.,Not mentioned,Jeddah,Saudi Arabia ,Full Time,On-site,Experienced,4 - 15 Yrs of Exp,Creative/Design/Art,Design Graphic Design illustrator photoshop Social Media media indesign,1 month ago
2081,S. Media Buyer,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,On-site,Senior Management,3 - 5 Yrs of Exp,Creative/Design/Art,media Advertising,27 days ago
2082,Senior Data Center Engineer - Hyper Converged Implementation,IT Dynamics Integrated Solutions,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,4+ Yrs of Exp,IT/Software Development,hyper converged Vmware Hyper-V DevOps Storage Servers,24 days ago
2083,Construction Manager,MCC,6th of October,Giza,Egypt ,Full Time,On-site,Manager,15 - 20 Yrs of Exp,Engineering - Construction/Civil/Architecture,Architecture Civil Engineering Construction Construction Management,25 days ago
2084,Product Owner,Ibn Sina Pharma,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,,1 month ago
2085,Senior GL Accountant,Aswaq,Shorouk City,Cairo,Egypt ,Full Time,On-site,Experienced,6 - 8 Yrs of Exp,males_only,General Ledger accountant,14 days ago
2086,Sales & Marketing Executive,Diamond Medical Services,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Customer Service/Support,Sales Marketing sales skills Sales Target Telesales Medical Sales,25 days ago
2087,AP Accountant,Tamweely,Boulaq,Cairo,Egypt ,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Accounting/Finance,Financial Analysis AP ERP Accountant ERP Systems English Microsoft Office,1 month ago
2088,Procurement Specialist,ABCO Group ,Bourj Alarab,Alexandria,Egypt ,Full Time,On-site,Experienced,3+ Yrs of Exp,Logistics/Supply Chain,Administration Business Administration Communication ERP Logistics Manufacturing Negotiation,14 days ago
2089,Sales Account Executive,Confidential,Sheikh Zayed,Giza,Egypt ,Full Time,Remote,Experienced,2 - 3 Yrs of Exp,Business Development,sales skills sales account Sales Customer Service Sales Target Account Management English,2 days ago
2090,Senior Mobile Developer,Millensys,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,3+ Yrs of Exp,IT/Software Development,Engineering Computer Science Mobile Development OO SOAP JSON XML,19 days ago
2091,Electrical Engineer - Ismailia,Confidential,Qantara Gharb,Ismailia,Egypt ,Full Time,Remote,Experienced,2 - 5 Yrs of Exp,Engineering - Mechanical/Electrical,Electrical PLC AutoCAD,3 days ago
2092,Electrical Engineer,Confidential,New Damietta,Damietta,Egypt ,Full Time,Remote,Experienced,2 - 5 Yrs of Exp,males_only,Electrical PLC AutoCAD English,3 days ago
2093,Junior Oracle Techno-Functional Consultant (SCM),idaco,Giza,Giza,Egypt ,Full Time,Remote,Entry Level,1 - 2 Yrs of Exp,Accounting/Finance,Oracle SCM SQL PLSql technical Functional ERP,28 days ago
2094,Receivables Accountant,Egypt Best Properties,Not mentioned,Giza,Egypt ,Full Time,Remote,Experienced,2 - 4 Yrs of Exp,Accounting/Finance,Financial Analysis Finance,1 month ago
2095,Senior Product Owner,Procrew,Not mentioned,Alexandria,Egypt ,Full Time,Remote,Experienced,4 - 6 Yrs of Exp,IT/Software Development,Agile Information Technology (IT) Product Management Communication,5 days ago
2096,Accountant,Roxy Plast,Heliopolis,Cairo,Egypt ,Full Time,Remote,Entry Level,1 - 1 Yrs of Exp,Accounting/Finance,Finance,1 month ago
2097,Senior Accountant,3Dimension,Haram,Giza,Egypt ,Full Time,Remote,Experienced,4 - 8 Yrs of Exp,Marketing/PR/Advertising,Finance,5 days ago
2098,Junior Geomatics Engineer,Micro Engineering,Nasr City,Cairo,Egypt ,Full Time,Remote,Entry Level,0 - 1 Yrs of Exp,Engineering - Mechanical/Electrical,Engineering Civil CAD gps,5 days ago
2099,Senior Mechanical Installation Engineer,Confidential,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,4 - 8 Yrs of Exp,Engineering - Construction/Civil/Architecture,HVAC Mechanical Engineering Project Management Mechanical Engineering Technical Office AutoCAD,5 days ago
2100,Administrative Assistant,ACS / El Amer Contracting & Supplies,Heliopolis,Cairo,Egypt ,Full Time,Remote,Entry Level,0 - 2 Yrs of Exp,Administration,Administration administrative Business Administration English Communication skills,15 days ago
2101,DevOps Specialist,NetCentric Egypt,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,2 - 4 Yrs of Exp,IT/Software Development,,9 days ago
2102,Senior Technical Designer,LIVING IN INTERIORS,New Cairo,Cairo,Egypt ,Full Time,Remote,Experienced,5 - 9 Yrs of Exp,Engineering - Construction/Civil/Architecture,Architecture Architectural Design Architectural Engineering Engineering Design Skills,1 month ago
2103,Social Media Analyst (Football Account),Ad Plus,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Remote,Experienced,3 - 9 Yrs of Exp,Marketing/PR/Advertising,Sports Marketing Adobe Photoshop E-Marketing Design Communication skills photoshop,23 days ago
2104,Tourism Manager,Egytrav ,Not mentioned,Cairo,Egypt ,Full Time,On-site,Manager,8 - 20 Yrs of Exp,Tourism/Travel,travel egypt cairo Hospitality Management,7 days ago
2105,Sales Administrator,Sublimatex,Nozha,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Administration,Administration sales skills Sales Target Sales Negotiation MS Office CRM,26 days ago
2106,Sales Executive,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Manager,4 - 6 Yrs of Exp,Sales/Retail,,2 months ago
2107,Technical Office Manager,UGI-EPC,Not mentioned,Giza,Egypt ,Full Time,On-site,Manager,7 - 10 Yrs of Exp,Engineering - Mechanical/Electrical,,24 days ago
2108,Marketing Manager, Roaya,Maadi,Cairo,Egypt ,Full Time,On-site,Manager,5 - 7 Yrs of Exp,IT/Software Development,Marketing media Social Media,6 days ago
2109,Finance Director,Confidential,Maadi,Cairo,Egypt ,Full Time,On-site,Senior Management,18+ Yrs of Exp,Accounting/Finance,Corporate Finance Construction Financial Management,24 days ago
2110,UI/UX Designer,Confidential,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 4 Yrs of Exp,Creative/Design/Art,Computer Science Design Information Technology (IT) UI Design UX Design UX UI,1 month ago
2111,Graphic Designer,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,Creative/Design/Art,Arts Design Graphic Design indesign Aftereffect,2 months ago
2112,Data Analyst,EGEC,Haram,Giza,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Accounting/Finance,analytical Analysis Computer Science Reporting Data Analysis Communication skills,13 days ago
2113,Marketing Coordinator,Havana Development,6th of October,Giza,Egypt ,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,Marketing/PR/Advertising,Design Social Media,1 month ago
2114,Photo Editor - Data Entry Clerk,Creative Motion,Katameya,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Creative/Design/Art,Data Microsoft Office WordPress,10 days ago
2115,Account Executive,Confidential,Heliopolis,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 1 Yrs of Exp,Business Development,Communication Communication Skills Marketing Sales Target Sales Skills Sales Customer Service,1 month ago
2116,Procurement Officer,Domestik development,6th of October,Giza,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,males_only,Logistics Purchasing Procurement Real Estate,1 month ago
2117,2D Graphic designer,Confidential,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 6 Yrs of Exp,Creative/Design/Art,Graphic Design,1 month ago
2118,Corporate Sales Account Manager ( B2B ),BTC-Egypt Gold,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Sales/Retail,E-marketing Account Manager Business negotiation skills Marketing Commerce B2B,17 hours ago
2119,Sales Executive,the Hub outdoor,Mohandessin,Giza,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Business Development,Sales Target Executive Sales Sales Executive sales skills,2 months ago
2120,Social Media Specialist,MobiSoft Holding,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,2+ Yrs of Exp,males_only,Content Content Creation Creative Design Editing facebook Social Media E-Marketing,11 days ago
2121,"Marketing , Social Media and Web Master Officer",Eduhive,Bolkly,Alexandria,Egypt ,Full Time,On-site,Experienced,2 - 15 Yrs of Exp,Marketing/PR/Advertising,Communication Digital Digital Marketing digital marketing E-Marketing Marketing media,11 days ago
2122,Warehouse Manager,Confidential,Qanater Khairya,Qalubia,Egypt ,Full Time,On-site,Manager,7 - 10 Yrs of Exp,Hospitality/Hotels/Food Services,Supply Chain Supply Warehouse manager Warehousing,11 days ago
2123,Sales Specialist - Alex,EISAS,Not mentioned,Alexandria,Egypt ,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Logistics/Supply Chain,Logistics Management,18 days ago
2124,Sales Executive,Badran Hospital,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,3 - 7 Yrs of Exp,Business Development,sales marketing,2 months ago
2125,Senior Technical Office Electrical Engineer,EG Master,Sheraton,Cairo,Egypt ,Full Time,On-site,Experienced,7 - 9 Yrs of Exp,Engineering - Mechanical/Electrical,ETAP shop drawing M.S OFFICE,1 month ago
2126,Sales Specialist,Algoriza,Not mentioned,Giza,Egypt ,Full Time,On-site,Experienced,3 - 4 Yrs of Exp,IT/Software Development,Customer Service,1 month ago
2127,Technical Support Engineer,BBI-Consultancy,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 5 Yrs of Exp,Installation/Maintenance/Repair,Help desk Technical Support IT Officer,13 days ago
2128,Graphic Designer.,Adamco Pharm,Not mentioned,Giza,Egypt ,Full Time,On-site,Experienced,3+ Yrs of Exp,males_only,Adobe illustrator Adobe Photoshop Graphic Design Design,7 days ago
2129,Commercial Manager,visual and ai solutions (VAIS) ,Smart Village,Giza,Egypt ,Full Time,On-site,Manager,4 - 8 Yrs of Exp,Business Development,Commercial Sales Director sales skills B2B Business Development business,12 days ago
2130,Payroll Senior Specialist,Confidential,Mokattam,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 7 Yrs of Exp,males_only,Payroll Payroll Specialist,1 month ago
2131,Marketing Manager,Term,New Cairo,Cairo,Egypt ,Full Time,On-site,Manager,7 - 10 Yrs of Exp,males_only,Engineering - Mechanical/Electrical Marketing Project Management Social Media Market Research Digital Marketing Offline Marketing Sales,13 days ago
2132,Accountant,Style Home Development,Downtown,Cairo,Egypt ,Full Time,On-site,Entry Level,1 - 4 Yrs of Exp,Accounting/Finance,Financial Management,28 days ago
2133,Delivery Officer,International Medical Service Center,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,males_only,Finance Hypermarket Logistics opration,13 days ago
2134,Senior Graphic Designer,IKC Company,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Creative/Design/Art,Typography Video Editing Photography Editing Graphic Design Adobe Photoshop Adobe illustrator,8 days ago
2135,Junior civil engineering technical office,EG Master,Sheraton,Cairo,Egypt ,Full Time,On-site,Entry Level,2 - 3 Yrs of Exp,Engineering - Construction/Civil/Architecture,AutoCAD Civil Engineering,1 month ago
2136,Senior Electrical Design Engineer,Naga Architects,Sheikh Zayed,Giza,Egypt ,Full Time,On-site,Experienced,5+ Yrs of Exp,Creative/Design/Art,Revit Electrical Electrical Design Electrical Engineering Engineering design engineer Design,1 month ago
2137,Media Buyer,RS,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 6 Yrs of Exp,Marketing/PR/Advertising,Healthcare Marketing Media Buying Social Media Social Media Sepecialist Marketing,24 days ago
2138,Mechanical Design Engineer,ADC-Architecture&Design Consultants,Sheikh Zayed,Giza,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Engineering - Mechanical/Electrical,Engineering engineer Mechanical Design Mechanical Engineering Mechanical,11 days ago
2139,IT Specialist,Confidential,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Installation/Maintenance/Repair,Computer Science Information Technology (IT) Installation IT Specialist specialist Technical Support IT,9 days ago
2140,ICT teacher - Alexandria,Egyptian English Language schools,Montaza,Alexandria,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Science Education Teaching English school Computer Science Information Technology (IT),9 days ago
2141,Packaging Designer,Arma-HSA,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,Creative/Design/Art,Creative Design Graphic Design Packaging Marketing illustrator photoshop,20 days ago
